team,prior_rating
SEA,5.5
KC,4.0
PHI,3.5
BUF,3.0
BAL,2.5
DET,2.0
NE,1.5
SF,1.5
DEN,1.0
GB,1.0
HOU,0.5
LAR,0.5
MIN,0.0
TB,0.0
CHI,0.0
LAC,-0.5
WAS,-0.5
PIT,-0.5
ARI,-1.0
IND,-1.0
JAX,-1.0
DAL,-1.5
ATL,-1.5
MIA,-2.0
CIN,-2.0
NYJ,-2.5
LV,-2.5
NO,-3.0
NYG,-3.0
CAR,-3.5
TEN,-4.0
CLE,-4.5
